run_id,started_at,finished_at,signal_trade_date,status,daily_run_id,data_snapshot_sha256,code_snapshot_sha256,qlib_artifact_sha256,model_spec_sha256,model_artifact_sha256,sentinel_report_path,signal_manifest_path,signal_sha256,rebalance_due,on_time,error_type,operator
d67fe98bcfb8,2026-07-16T11:38:39.074118+00:00,2026-07-16T11:45:42.118185+00:00,20260716,PASS,964823be3eb4,e98ed68838c269d94a04f6bbf937aac718a59f90f1376f2799e7e4e07530eb0b,86e31bf28d2ac5f390d3cac904936202c722979585f40bdd775a88037c6c45a0,d2aa8b37384844fd40ae59deff5ea6312abe5a171a41e437b9905cb2f6973b49,90c9fcc2df90d31d7301c1d4effe2b0e6bab33a6749b63b109d6429413f69dd9,0050a5d1f849fdf40e6dcb392a0b04f88ea036d98172c434d2e95432d045a1b4,logs/sentinels/20260716T114154.951812Z.json,data/shadow/signals/20260716-86e31bf28d2a-e98ed68838c2.json,a7af3881ad1369731543414f6c2876a3d2544d859d65eb620bff67a40eac28b2,true,true,,docker-scheduler
0c09983a6c18,2026-07-17T11:44:08.053933+00:00,2026-07-17T11:50:06.507976+00:00,20260717,PASS,af3c8098cbcf,750f89acdf7a2f15f862857e4d50b766db63c7010cf6ffbbc5d4a6abb85ae9a4,c5c5ce55826edfc0d6fa816fa85c3aeb8cdaa8a6be504fdbd9edb5db1a140cc9,ba61227ed5a17922a3c57e876ff7f5df1479df18bbf84cb5f8f7204885d562e4,0b4840170bfdffa2261ba4c75c4f5534f2091d45bee994bdb852e4a6cd01f865,40c4ff571837c9b82c2ef181468b5643843a0a53a4fa5765236c5e94d5276f1c,logs/sentinels/20260717T114718.445447Z.json,data/shadow/signals/20260717-c5c5ce55826e-750f89acdf7a.json,5fc1e7915d2cb81a960df9db446b108f9d7d7852109a5e18c308d28bebf23eed,false,true,,docker-scheduler
8f46dd357e01,2026-07-20T11:37:18.108021+00:00,2026-07-20T12:27:33.889870+00:00,20260720,PASS,d5bb7679b492,4431d5969b01ffc55faffd9ea2a27de189b448b843b3ddb372d81b87021824a4,c5c5ce55826edfc0d6fa816fa85c3aeb8cdaa8a6be504fdbd9edb5db1a140cc9,1773136881c9ae8a99131f6c77549f3d3f9412098e8eeac9250ccb9b1e8986cb,76353ab1674822e6f49968a9711e2e95a35fcb9251218e03bacc27e1f1a36b2e,e67c74222f5fb17d807d8763bc00727bb02aa3c0fdd4f215da22401c692124f2,logs/sentinels/20260720T122348.254667Z.json,data/shadow/signals/20260720-c5c5ce55826e-4431d5969b01.json,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,false,true,,docker-scheduler
9e7fde78af8a,2026-07-21T13:16:23.674870+00:00,2026-07-21T13:53:05.738165+00:00,20260721,PASS,dd0ebcf6260c,bdcd89de4211787e131f6115691c5c16164c0d407e17528756dcddf5070f65a4,c5c5ce55826edfc0d6fa816fa85c3aeb8cdaa8a6be504fdbd9edb5db1a140cc9,93555830d009e6eab391577701415292e98ee35f636575dfb1e049689e5565a1,45711e66607c5d11b9b594c02ee5aea4a960777b82cc4733cdf0962c220e38b5,5d94dcb759b409bfa6d519d1b1861e8ff8c762e3f47eef2944cb805f312fc14e,logs/sentinels/20260721T135000.616265Z.json,data/shadow/signals/20260721-c5c5ce55826e-bdcd89de4211.json,c84a80351f1e7b22a5f5f7f6a56b3429edf191b5d541b5f874bbd7fffeddc064,false,true,,docker-scheduler
2e7a67d42bbb,2026-07-22T11:38:10.330938+00:00,2026-07-22T11:45:43.531337+00:00,20260722,PASS,9123e1640ada,ecc1677e18248ca32d38c84a09064cf4daafaa30d03bc0cfff04dbd39f9791c6,c5c5ce55826edfc0d6fa816fa85c3aeb8cdaa8a6be504fdbd9edb5db1a140cc9,f2e4eb600ac6fdc80243ab1b2a942a75315d49c2bb5955ca31a13fe68421a478,54ccdf4c4ce67c61c95ebfc7e19f97baffab3ca49d60810e1546bc8e49710aae,3d45d68893f3357a79889fe3a0fe257312ce0b3cbb517a8b3f4af9c14c3eff69,logs/sentinels/20260722T114207.661775Z.json,data/shadow/signals/20260722-c5c5ce55826e-ecc1677e1824.json,3eef24f0d52ce08a220ea2be20ec37df9d8b0f2a577f322c607660851f7fd512,false,true,,docker-scheduler
92dc3413deef,2026-07-23T11:45:41.645491+00:00,2026-07-23T11:54:03.657318+00:00,20260723,PASS,3b1d955b7c2f,b7ef9171e848bad0fed0f892914bd82daac0d2e219f3482c0f308db07f696ab9,261f58b858dbc46d49ffb9f623e8868dcb10891cc2dadd2292728da6de7eb4fa,3e087e0e8f1bca432f4dd3d02ec564aafc3270bf0b84e28ccbc9a3e88dc4f393,94a4846c713259871d1c82a2c45bb35da4e831d051b785aa8c76878adcbcc409,b948d7a0adbf3fb2b7cf3ca669c96ea5c4a6535b4a318f35abbb0250ff9e5639,logs/sentinels/20260723T114949.818093Z.json,data/shadow/signals/20260723-261f58b858db-b7ef9171e848.json,cb092b2143335da11463b34c5b75c3a5b1d2e99142272d69b6c05bb88ae79b1e,false,true,,docker-scheduler
ea42a94bfd51,2026-07-24T12:06:33.966132+00:00,2026-07-24T12:09:44.978565+00:00,20260724,FAIL,5af31ed25177,f91c8c78406a214ad9ebef39c56cad2d1cb24472f1c104fa5ded0d578c51b3ab,4c5f3b9906c4a44049b12e30268457fca5a5b3dcf175f5546f17273c2d9b5b86,,,,,,,false,false,ForwardQlibError,docker-scheduler
3dfc31c29a6e,2026-07-24T12:25:38.316407+00:00,2026-07-24T12:33:28.604876+00:00,20260724,PASS,5af31ed25177,f91c8c78406a214ad9ebef39c56cad2d1cb24472f1c104fa5ded0d578c51b3ab,eb8e752132ac1fbe6a9557d26b4c7a65df36f6169d617b6e1e10db88d46b7fbd,df5c4f4f4647ed92c8f9d5b4febe5acc5b1f7afcf784152c6c4edd1da4469989,6a5b04fc3feb1a3945e6a1747ee961d502511eff6b4b6fe2bf79edca8328cbb8,5e358b533f9774dc73d7e5243ad5a1addc048e73955c628577555408c88be163,logs/sentinels/20260724T122927.828782Z.json,data/shadow/signals/20260724-eb8e752132ac-f91c8c78406a.json,8521ca67d8177aa34215ee811456154d56f9d2791f4de418cc3f46290acd6406,false,true,,docker-scheduler
e5eae793e65a,2026-07-27T11:43:30.502202+00:00,2026-07-27T11:53:15.502142+00:00,20260727,PASS,bae78e49cad7,31b87ce5f99769246355e709a4f18d09b9d7ef3356e5c2f0c1c4d3dfd5401ec5,eb8e752132ac1fbe6a9557d26b4c7a65df36f6169d617b6e1e10db88d46b7fbd,84709fe43de9f8f3ed114957eccf12e5eaed88d5ddc3d8da40b52a76d88fa29d,098e3c623d673c0bb04197ff517718d4bdac14e685a5300208b344784c7f6849,857fd8db71590330c7edffebc8f19abe0596fa39ce27b590ff827d1e6251fe02,logs/sentinels/20260727T114907.860028Z.json,data/shadow/signals/20260727-eb8e752132ac-31b87ce5f997.json,f875abbfb7426dd1e6d643f2ee098d86f9e7f6b8457fd91de33966431bbf4b4f,false,true,,docker-scheduler
5ce493ed7308,2026-07-28T11:37:03.483149+00:00,2026-07-28T11:50:29.041205+00:00,20260728,PASS,34a6d236f2a6,6d811d8be39082b0f862cbb8296f07d2db7181031f12f530de727fb5458c6d6a,eb8e752132ac1fbe6a9557d26b4c7a65df36f6169d617b6e1e10db88d46b7fbd,1b7e79705fdb3c3d4acd06812bce5d4e47f9cfa3a87fac5c1f4105fbbc8e64fd,5209b533a4b310aa6bcd39cc5c93436db5c37770089764b9567e9edc90ceaa9a,445ace018fe7d9730068ba6946271017f37eef44438941ba88666286ac9f85fe,logs/sentinels/20260728T114437.164438Z.json,data/shadow/signals/20260728-eb8e752132ac-6d811d8be390.json,819f2e6ae83dbb9d3e6f59e49f5012806eb7896898ab0ff37bfd209471ab7572,false,true,,docker-scheduler
