attempt_id,protocol_id,research_family,global_ordinal,topic,topic_ordinal,evolution_mode,parent_attempt_ids_json,completed_at,provider_mode,provider,requested_model,returned_model,protocol_sha256,execution_release_id,execution_release_sha256,batch_hard_ceiling_usd,request_sha256,response_sha256,candidate_schema_sha256,code_snapshot_sha256,data_snapshot_sha256,knowledge_manifest_sha256,finish_reason,prompt_tokens,prompt_cache_hit_tokens,prompt_cache_miss_tokens,completion_tokens,estimated_cost_usd,parse_status,sandbox_status,canonical_expression,expression_sha256,expression_tokens,ast_nodes,max_lookback_days,duplicate_of_attempt_id,discovery_status,discovery_eligible_rows,discovery_covered_rows,discovery_coverage,discovery_daily_ic_count,discovery_rank_ic,discovery_error,discovery_artifact_path,discovery_artifact_sha256,failure_class,candidate_status,artifact_manifest_path,artifact_manifest_sha256,experiment_id,operator
5c9bf98c54c393d6,m3-star-three-pool-price-volume-v1,m3-star-three-pool-price-volume-v1,1,trend_momentum,1,independent,[],2026-08-02T03:56:55+00:00,deepseek-http,deepseek,deepseek-v4-pro,deepseek-v4-pro,a8542b36b24515a2ecd63297d0fe98ee0458495dc26cee365b2fcba407a3b71c,m3-star-three-pool-price-volume-v1-batch-001,717375f4fddf7e24717453707d4405b9b57bd9ac3135398e3893220b73ed47b7,0.500000000000,63fda018c13b4ca54f55ae5a010b594951cda8955be3074e7d8591e5a5b7b9d9,6e585c2e1efd6e90704a9d2e8d76f128f3f2397e89e512f91f1c05bebabc3bce,71617286887eec810735a22651d7ade9d9eb58aa5a3eb1650ee833f9adacf217,220a82f95869919d2ef452335f68060a964039a6d0d2b235eac4c80669cfa439,90a8d377b40bfc580eed9808399d22af6f724cd9d4e6e7c64c1d02fdb5cf1193,0f1e8ab2461352ce020dcf1873a5d79bfc010b08eea205b6b308e27bc3c23fad,stop,1336,0,1336,1287,0.001700850000,PASS,PASS,"Sub(Mean($close,5d),Mean($close,20d))",fecfd693bac73921fa5272c60a6448fc9180044c975295129a94bc1ae2bc5def,7,7,20,,PASS,122544,122393,0.997441832135,474,0.002224666662,,discovery/5c9bf98c54c393d6.json,1d21f27d8db0c7afadb24c10caedc2b5eabfb8db20cb5e0beaa75784aeb225ca,,DISCOVERY_EVALUATED,manifests/5c9bf98c54c393d6.json,318262434e63e2b7b7cacb67ab2a830dd0e4340de7b1dcfc505363520837d5b5,9e199a8fe8fb,docker-m3-multi-pool-live
244153780fd884f1,m3-star-three-pool-price-volume-v1,m3-star-three-pool-price-volume-v1,2,trend_momentum,2,independent,[],2026-08-02T03:57:16+00:00,deepseek-http,deepseek,deepseek-v4-pro,deepseek-v4-pro,a8542b36b24515a2ecd63297d0fe98ee0458495dc26cee365b2fcba407a3b71c,m3-star-three-pool-price-volume-v1-batch-001,717375f4fddf7e24717453707d4405b9b57bd9ac3135398e3893220b73ed47b7,0.500000000000,63fda018c13b4ca54f55ae5a010b594951cda8955be3074e7d8591e5a5b7b9d9,67d96f790c59015ca6ae24aed3a8d39390d6a8a18cd4abe48319fbb284c44a4e,71617286887eec810735a22651d7ade9d9eb58aa5a3eb1650ee833f9adacf217,220a82f95869919d2ef452335f68060a964039a6d0d2b235eac4c80669cfa439,90a8d377b40bfc580eed9808399d22af6f724cd9d4e6e7c64c1d02fdb5cf1193,0f1e8ab2461352ce020dcf1873a5d79bfc010b08eea205b6b308e27bc3c23fad,stop,1336,1280,56,2382,0.002101340000,PASS,PASS,"Sub(EMA($close,5d),EMA($close,20d))",0fea6440daf945e33c6f7e6c4d1ba93b8ca4b83c33809a8a5396bbd28f348d66,7,7,20,,PASS,122544,122393,0.997441832135,474,-0.001982916133,star-board-smallcap-pit-v1:directed_rank_ic_not_positive,discovery/244153780fd884f1.json,50bd1a83d4cf6cecf30057bad017b5f98d9bce44bbaea62d0b29b096f6af79eb,,DISCOVERY_EVALUATED,manifests/244153780fd884f1.json,6bcc1b422a943ca9b937d0fe994745c79f8276387753090db0f94882fe92c2dd,5e2224ec4fc5,docker-m3-multi-pool-live
f6fd83e97bad3114,m3-star-three-pool-price-volume-v1,m3-star-three-pool-price-volume-v1,3,trend_momentum,3,independent,[],2026-08-02T03:57:52+00:00,deepseek-http,deepseek,deepseek-v4-pro,deepseek-v4-pro,a8542b36b24515a2ecd63297d0fe98ee0458495dc26cee365b2fcba407a3b71c,m3-star-three-pool-price-volume-v1-batch-001,717375f4fddf7e24717453707d4405b9b57bd9ac3135398e3893220b73ed47b7,0.500000000000,63fda018c13b4ca54f55ae5a010b594951cda8955be3074e7d8591e5a5b7b9d9,ca15510c1874a7b4e7e7cfa080babc523da98c30717831b0d2f1df47b45f4052,71617286887eec810735a22651d7ade9d9eb58aa5a3eb1650ee833f9adacf217,220a82f95869919d2ef452335f68060a964039a6d0d2b235eac4c80669cfa439,90a8d377b40bfc580eed9808399d22af6f724cd9d4e6e7c64c1d02fdb5cf1193,0f1e8ab2461352ce020dcf1873a5d79bfc010b08eea205b6b308e27bc3c23fad,stop,1336,1280,56,1212,0.001083440000,PASS,PASS,"Div(EMA($close,5d),EMA($close,20d))",4541e1dcbebe3aad6c72ebb61b9e7107a5419a7d7548916369870141f8a17572,7,7,20,,PASS,122544,122393,0.997441832135,474,0.011434984740,,discovery/f6fd83e97bad3114.json,cecc260d34840316b8d6a31c41a96a8fc2d632038dc5e8f258c37adb4120134b,,DISCOVERY_EVALUATED,manifests/f6fd83e97bad3114.json,158fff6938bbb73d8ee5c0dcc7018c66f65a3030ea588d68d4734b1463738e87,c632d02316d4,docker-m3-multi-pool-live
ca552f379c62504d,m3-star-three-pool-price-volume-v1,m3-star-three-pool-price-volume-v1,4,trend_momentum,4,mutation,"[""f6fd83e97bad3114""]",2026-08-02T03:58:10+00:00,deepseek-http,deepseek,deepseek-v4-pro,deepseek-v4-pro,a8542b36b24515a2ecd63297d0fe98ee0458495dc26cee365b2fcba407a3b71c,m3-star-three-pool-price-volume-v1-batch-001,717375f4fddf7e24717453707d4405b9b57bd9ac3135398e3893220b73ed47b7,0.500000000000,2cbcca961047b54bede0f70bb053e7a251071bbeade6ba8f79e528348eb59524,afb8350245a78f8e06743e82db44df71ca700c2abc5cf69cd6b50cb87a32ba3d,71617286887eec810735a22651d7ade9d9eb58aa5a3eb1650ee833f9adacf217,220a82f95869919d2ef452335f68060a964039a6d0d2b235eac4c80669cfa439,90a8d377b40bfc580eed9808399d22af6f724cd9d4e6e7c64c1d02fdb5cf1193,0f1e8ab2461352ce020dcf1873a5d79bfc010b08eea205b6b308e27bc3c23fad,stop,1817,0,1817,1647,0.002223285000,PASS,PASS,"Div(WMA($close,5d),WMA($close,20d))",1d065dd5b99ec9bade78e27508a4324882d3752204fca62301cb3ec4d8e09480,7,7,20,,PASS,122544,122393,0.997441832135,474,0.007758861614,,discovery/ca552f379c62504d.json,e115cad93a71809f4686a5ae5067427e04babbe03b90d938dacb1bb6665176a9,,DISCOVERY_EVALUATED,manifests/ca552f379c62504d.json,3f89946b049f733d4a9ad853f53e3a17ffeb43ffad30f91bb4a3435f6162857d,46ce9375ce64,docker-m3-multi-pool-live
0d047bd2e288adf1,m3-star-three-pool-price-volume-v1,m3-star-three-pool-price-volume-v1,5,trend_momentum,5,mutation,"[""5c9bf98c54c393d6""]",2026-08-02T03:58:35+00:00,deepseek-http,deepseek,deepseek-v4-pro,deepseek-v4-pro,a8542b36b24515a2ecd63297d0fe98ee0458495dc26cee365b2fcba407a3b71c,m3-star-three-pool-price-volume-v1-batch-001,717375f4fddf7e24717453707d4405b9b57bd9ac3135398e3893220b73ed47b7,0.500000000000,0e422f20b7a43d4472d7aa8bcd7c02d6227f475e0ebfa20765b2ce9f30fed04d,b9875c928797a72b8a3043208354184d69956f20d4e3e85ae9168f5f1bfe3fdc,71617286887eec810735a22651d7ade9d9eb58aa5a3eb1650ee833f9adacf217,220a82f95869919d2ef452335f68060a964039a6d0d2b235eac4c80669cfa439,90a8d377b40bfc580eed9808399d22af6f724cd9d4e6e7c64c1d02fdb5cf1193,0f1e8ab2461352ce020dcf1873a5d79bfc010b08eea205b6b308e27bc3c23fad,stop,1976,896,1080,1195,0.001512698000,PASS,PASS,"Div(Sub(Mean($close,5d),Mean($close,20d)),Std($close,20d))",0808d2680a87eed47639c82b34f9f19a99832fd55b9a0dd8f63b91f26222e2fa,14,11,20,,PASS,122544,122393,0.997441832135,474,0.003017497225,,discovery/0d047bd2e288adf1.json,34f9ed991a2cfcfd562eed216bc6bbea4e01a8143569b2321f2edcb10e7667b5,,DISCOVERY_EVALUATED,manifests/0d047bd2e288adf1.json,39dc36da616f9536264046aec9e767e510e80451fe904c1f2dba2340a99188e8,9e02548479a1,docker-m3-multi-pool-live
832b0c240175b776,m3-star-three-pool-price-volume-v1,m3-star-three-pool-price-volume-v1,6,trend_momentum,6,mutation,"[""f6fd83e97bad3114"",""0d047bd2e288adf1""]",2026-08-02T03:58:53+00:00,deepseek-http,deepseek,deepseek-v4-pro,deepseek-v4-pro,a8542b36b24515a2ecd63297d0fe98ee0458495dc26cee365b2fcba407a3b71c,m3-star-three-pool-price-volume-v1-batch-001,717375f4fddf7e24717453707d4405b9b57bd9ac3135398e3893220b73ed47b7,0.500000000000,0aba32c05b8ace555553cd26a47aa38d550601ba7dfc0c490edd66430bd8e11a,2ba630c0d59c75e45129ec10dae529d1282db07b4d5b8a75081879eed85e3662,71617286887eec810735a22651d7ade9d9eb58aa5a3eb1650ee833f9adacf217,220a82f95869919d2ef452335f68060a964039a6d0d2b235eac4c80669cfa439,90a8d377b40bfc580eed9808399d22af6f724cd9d4e6e7c64c1d02fdb5cf1193,0f1e8ab2461352ce020dcf1873a5d79bfc010b08eea205b6b308e27bc3c23fad,stop,2147,896,1251,1487,0.001841123000,PASS,PASS,"Div(Sub(EMA($close,5d),EMA($close,20d)),Std($close,20d))",4542d563fe0f9847e34b2198a0d51ff908523226cc1ab140b8957bb89fadbf73,14,11,20,,PASS,122544,122393,0.997441832135,474,-0.000489359745,star-board-smallcap-pit-v1:directed_rank_ic_not_positive,discovery/832b0c240175b776.json,8168bf09d3f7223f0e16c1b2aba105c6b78adb64bf80617a620a66270cafb14e,,DISCOVERY_EVALUATED,manifests/832b0c240175b776.json,1d3e45e8865c725d9640c5c3115e403c24eadf7947cf42c42dee27bb1b4b34fb,dee8545d772e,docker-m3-multi-pool-live
d701759473b72188,m3-star-three-pool-price-volume-v1,m3-star-three-pool-price-volume-v1,7,reversal_mean_reversion,1,independent,[],2026-08-02T03:59:16+00:00,deepseek-http,deepseek,deepseek-v4-pro,deepseek-v4-pro,a8542b36b24515a2ecd63297d0fe98ee0458495dc26cee365b2fcba407a3b71c,m3-star-three-pool-price-volume-v1-batch-001,717375f4fddf7e24717453707d4405b9b57bd9ac3135398e3893220b73ed47b7,0.500000000000,109a716461a50739af1ad25f23972ff54d5dada7abc331d0aeb8b34ee713bdc1,c7fe79a805a66f1c05bf7556881e0a1f42921f04c55e0cf0fb5d3552a939b595,71617286887eec810735a22651d7ade9d9eb58aa5a3eb1650ee833f9adacf217,220a82f95869919d2ef452335f68060a964039a6d0d2b235eac4c80669cfa439,90a8d377b40bfc580eed9808399d22af6f724cd9d4e6e7c64c1d02fdb5cf1193,0f1e8ab2461352ce020dcf1873a5d79bfc010b08eea205b6b308e27bc3c23fad,stop,1301,896,405,1969,0.001892453000,PASS,PASS,"Div(Sub($close,Mean($close,10d)),Max($volume,1d))",17e1925a47e91bacda916b2aeda3330fd3edd3439f6002d5c45005254c46787b,9,9,10,,PASS,122544,122463,0.998660007309,474,-0.014584425094,star-board-midcap-pit-v1:directed_rank_ic_not_positive;star-board-smallcap-pit-v1:directed_rank_ic_not_positive,discovery/d701759473b72188.json,7d374083be86c2503ff18728c5bcf8d59d20c0e1481e1a93948ff3d680a6964d,,DISCOVERY_EVALUATED,manifests/d701759473b72188.json,abd2fcc4e0bcb6a08ef2086f9784350449c53a14ef15b22f3354337ecd188062,4fdd4fab7acc,docker-m3-multi-pool-live
2cfde2cff0a73754,m3-star-three-pool-price-volume-v1,m3-star-three-pool-price-volume-v1,8,reversal_mean_reversion,2,independent,[],2026-08-02T03:59:47+00:00,deepseek-http,deepseek,deepseek-v4-pro,deepseek-v4-pro,a8542b36b24515a2ecd63297d0fe98ee0458495dc26cee365b2fcba407a3b71c,m3-star-three-pool-price-volume-v1-batch-001,717375f4fddf7e24717453707d4405b9b57bd9ac3135398e3893220b73ed47b7,0.500000000000,109a716461a50739af1ad25f23972ff54d5dada7abc331d0aeb8b34ee713bdc1,7e42c4d92094e1416f7916ce521d0398ae84ba26e2bd56ce0d3a584cd68a896b,71617286887eec810735a22651d7ade9d9eb58aa5a3eb1650ee833f9adacf217,220a82f95869919d2ef452335f68060a964039a6d0d2b235eac4c80669cfa439,90a8d377b40bfc580eed9808399d22af6f724cd9d4e6e7c64c1d02fdb5cf1193,0f1e8ab2461352ce020dcf1873a5d79bfc010b08eea205b6b308e27bc3c23fad,stop,1301,1280,21,1454,0.001278755000,PASS,FAIL,,,,,,,NOT_RUN,,,,,,,,,sandbox_rejected,REJECT,manifests/2cfde2cff0a73754.json,ace144d053026e432b2f3fd52b96474ff26c4e985c5e3681fd62ceeb4484b683,25740f51ec0d,docker-m3-multi-pool-live
c0416337cd164652,m3-star-three-pool-price-volume-v1,m3-star-three-pool-price-volume-v1,9,reversal_mean_reversion,3,independent,[],2026-08-02T04:00:07+00:00,deepseek-http,deepseek,deepseek-v4-pro,deepseek-v4-pro,a8542b36b24515a2ecd63297d0fe98ee0458495dc26cee365b2fcba407a3b71c,m3-star-three-pool-price-volume-v1-batch-001,717375f4fddf7e24717453707d4405b9b57bd9ac3135398e3893220b73ed47b7,0.500000000000,109a716461a50739af1ad25f23972ff54d5dada7abc331d0aeb8b34ee713bdc1,a4b087c0cfb31bd7cb57b3ab8e98a4543a17d4def46d01dcca6d183547c7323d,71617286887eec810735a22651d7ade9d9eb58aa5a3eb1650ee833f9adacf217,220a82f95869919d2ef452335f68060a964039a6d0d2b235eac4c80669cfa439,90a8d377b40bfc580eed9808399d22af6f724cd9d4e6e7c64c1d02fdb5cf1193,0f1e8ab2461352ce020dcf1873a5d79bfc010b08eea205b6b308e27bc3c23fad,stop,1301,1280,21,1764,0.001548455000,PASS,PASS,"Mean(Mul(Sub(Sub($close,$close),Delta($close,5d)),$volume),5d)",4260c255b8b8bf5186f936c49eabb08a113851c08a58b5854ab395a44180c292,11,11,5,,PASS,122544,122463,0.998660007309,474,0.000710848930,,discovery/c0416337cd164652.json,d8c6419af56f91d45088961d38bf2223e4c23ef6351e84b49d39271f70df96d5,,DISCOVERY_EVALUATED,manifests/c0416337cd164652.json,bf8463cac6de69f29798af04a4910b187278dc479de26ccc3c0aa2a4e20f910e,ae8bb36a3f78,docker-m3-multi-pool-live
d5a9a6021199af32,m3-star-three-pool-price-volume-v1,m3-star-three-pool-price-volume-v1,10,reversal_mean_reversion,4,mutation,"[""d701759473b72188""]",2026-08-02T04:03:34+00:00,deepseek-http,deepseek,deepseek-v4-pro,deepseek-v4-pro,a8542b36b24515a2ecd63297d0fe98ee0458495dc26cee365b2fcba407a3b71c,m3-star-three-pool-price-volume-v1-batch-001,717375f4fddf7e24717453707d4405b9b57bd9ac3135398e3893220b73ed47b7,0.500000000000,bae87e527e12cfaefa6ef8dd33d16c3bd7fd39aed285548234b95b90edaf2eeb,c45a1760160d83c8bb5090799aa1cc02b2291f7d131a29d4814f96360dbb4c5c,71617286887eec810735a22651d7ade9d9eb58aa5a3eb1650ee833f9adacf217,220a82f95869919d2ef452335f68060a964039a6d0d2b235eac4c80669cfa439,90a8d377b40bfc580eed9808399d22af6f724cd9d4e6e7c64c1d02fdb5cf1193,0f1e8ab2461352ce020dcf1873a5d79bfc010b08eea205b6b308e27bc3c23fad,stop,1761,896,865,1474,0.001661903000,PASS,PASS,"Div(Sub($close,Mean($close,20d)),Std($close,20d))",6aa7cf64c86be0562db0d94d6490a3030e51a18af42274ffb81276c80c56e6d3,9,9,20,m1:47f690ef14487a25,NOT_RUN,,,,,,,,,duplicate_ast,REJECT,manifests/d5a9a6021199af32.json,bdaf4d8cce7093d71f81c96995b3e39b038c7b3d66aa5c39b506ea89a61458c0,deef5ce787cf,docker-m3-multi-pool-live
